,lot_area,year_built,year_remod/add,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,saleprice,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,alley_Grvl,alley_Pave,utilities_NoSeWa,utilities_NoSewr,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,bsmt_qual_Ex,bsmt_qual_Fa,bsmt_qual_Gd,bsmt_qual_TA,heating_GasW,heating_Grav,heating_OthW,heating_Wall,central_air_Y,garage_type_2Types,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,fence_GdPrv,fence_GdWo,fence_MnPrv,fence_MnWw
10,1680,1971,1971,483.0,483,504,1,1,2,1,4,0,1.0,0,0,0,0,0,0,85400,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,7488,2005,2005,1208.0,1208,0,2,0,2,1,6,0,2.0,105,58,0,0,0,0,183600,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,26400,1880,2007,0.0,1288,728,1,0,4,1,7,1,2.0,0,0,0,0,0,0,131000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13,2645,1999,2000,960.0,962,645,2,1,3,1,7,0,2.0,169,0,0,0,0,0,200000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,9627,2007,2007,1351.0,1361,0,2,0,3,1,6,0,2.0,0,50,0,0,0,0,193000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15,10114,2004,2005,1430.0,1430,0,2,0,3,1,7,0,2.0,0,0,0,0,0,0,173500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16,4571,1916,1950,624.0,624,720,1,0,4,1,7,0,3.0,0,0,96,0,0,0,98000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,8816,1963,1963,1121.0,1121,0,1,0,3,1,5,0,2.0,0,80,0,0,0,0,139000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
18,8197,1977,1977,660.0,1285,0,1,1,3,1,7,1,2.0,138,0,0,0,0,0,143500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
19,8640,2009,2009,756.0,764,783,2,1,3,1,7,0,2.0,169,45,0,0,0,0,215200,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20,8724,1968,1968,894.0,894,0,1,0,3,1,5,1,2.0,0,0,0,0,0,0,129000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
21,5664,2000,2000,1501.0,1659,0,2,0,2,1,5,1,2.0,212,59,0,0,0,0,278000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22,12867,2005,2006,1209.0,1209,1044,2,1,3,1,8,1,2.0,243,142,0,0,0,0,344133,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
23,7980,1992,2007,1168.0,1187,0,2,0,3,1,6,0,2.0,483,21,0,0,0,0,185000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
25,10573,1961,1961,1453.0,1453,0,2,0,3,1,6,1,2.0,0,49,0,0,288,0,187500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,8450,1965,2009,894.0,894,0,1,0,3,1,5,1,1.0,416,144,0,0,0,0,138500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
27,11700,1937,1995,942.0,1265,673,2,0,4,1,7,1,1.0,0,40,0,0,0,0,198000,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,8250,1895,2006,957.0,1034,957,2,0,4,2,9,0,0.0,0,0,133,0,0,0,119600,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8064,1949,2006,672.0,672,252,1,0,3,1,6,1,2.0,0,0,0,0,0,0,122900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
30,9600,1981,1981,2524.0,2524,0,2,1,4,1,9,1,2.0,474,120,0,0,0,0,278000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,11435,1929,1950,792.0,792,725,1,0,3,1,7,2,2.0,0,0,0,0,0,0,230000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,9549,1995,1996,1494.0,1494,0,1,1,2,1,6,1,2.0,0,30,0,0,216,0,270000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33,10950,1952,1952,948.0,948,0,1,0,2,1,5,0,2.0,0,48,0,0,0,0,125000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34,10637,2007,2008,1705.0,1718,0,2,0,3,1,7,1,3.0,208,44,0,0,0,0,297000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,9000,1958,1958,160.0,1142,0,1,0,2,1,5,1,1.0,0,28,64,0,0,0,113500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36,2665,1977,1977,757.0,925,550,2,0,4,1,6,1,1.0,104,26,0,0,0,0,127000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,11751,1977,1977,1844.0,1844,0,2,0,3,1,7,1,2.0,0,122,0,0,0,0,190000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
38,9600,1973,1973,1242.0,1242,0,1,1,3,1,6,1,2.0,0,0,0,0,0,0,175500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
39,8428,1994,1994,990.0,990,0,1,0,3,1,5,0,1.0,256,0,0,0,0,0,146000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,9937,1965,1965,1256.0,1256,0,1,1,3,1,6,0,1.0,736,68,0,0,0,0,147500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,13891,2006,2006,2076.0,2076,0,2,1,2,1,7,1,3.0,216,229,0,0,0,0,465000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,9101,1978,1978,1097.0,1110,0,1,0,1,1,4,1,2.0,303,30,0,0,0,0,165500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
43,12150,1954,1954,1050.0,1050,745,2,0,4,1,7,0,1.0,0,0,0,0,0,0,131500,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,11200,1965,1965,1040.0,1040,0,1,0,3,1,5,0,1.0,0,0,0,0,0,0,129500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
45,9670,1935,1950,608.0,983,890,1,1,4,1,9,2,2.0,0,0,207,0,0,0,257076,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46,10998,1941,1960,984.0,984,620,2,0,3,1,6,0,2.0,0,68,0,0,0,0,117000,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,7200,1931,2000,776.0,851,651,1,1,3,1,6,1,1.0,0,0,112,0,0,0,149000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
48,9920,1954,1954,1056.0,1063,0,1,0,3,1,6,0,1.0,0,0,164,0,0,0,128000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
49,2448,2003,2004,764.0,764,862,2,1,2,1,6,0,2.0,0,27,0,0,0,0,155000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
50,2998,2000,2000,756.0,768,756,2,1,2,1,4,0,2.0,0,32,0,0,0,0,166000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
51,7804,1928,1950,1122.0,1328,653,2,0,4,1,7,2,2.0,431,44,0,0,0,0,135000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
52,16692,1978,1978,1392.0,1392,1392,3,1,5,1,12,2,2.0,0,112,0,0,440,519,250000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
53,1476,1970,1970,546.0,546,546,1,1,3,1,5,0,0.0,200,26,0,0,0,0,76000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,10170,1951,1951,216.0,1575,0,1,1,2,1,5,1,2.0,0,0,0,0,0,0,155000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
55,9364,1969,1969,663.0,663,689,1,1,4,1,7,0,1.0,379,36,0,0,0,0,158000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
56,2544,2004,2005,600.0,600,600,2,1,2,1,4,0,2.0,0,172,0,0,0,0,149500,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57,9888,1954,1975,936.0,936,0,1,0,2,1,5,0,1.0,0,0,160,0,0,0,121000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
58,7942,1953,1953,1040.0,1040,0,1,0,3,1,6,0,1.0,0,0,0,0,0,0,136000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
59,15038,1996,1996,916.0,916,720,2,1,3,1,7,1,2.0,168,84,0,0,0,0,173000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
60,11764,1999,2007,1152.0,1164,1106,2,1,4,1,9,1,3.0,132,57,0,0,0,0,290000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
61,9000,2007,2007,1184.0,1184,1426,2,1,4,1,11,1,2.0,208,364,0,0,0,0,303477,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
62,20062,1977,2001,1420.0,1483,0,1,1,1,1,4,2,2.0,496,0,0,0,0,0,270000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
63,7308,1920,1950,936.0,960,780,1,0,2,1,6,1,1.0,0,0,236,0,0,0,122250,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,8750,1955,1955,1382.0,1382,0,1,0,3,1,6,0,1.0,280,0,0,0,0,0,153000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
65,8402,2007,2007,1120.0,1120,0,1,0,3,1,6,0,0.0,0,30,0,0,0,0,147000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,4000,1930,1995,531.0,567,531,1,0,2,1,5,1,1.0,0,0,0,0,0,0,148500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
67,3363,2004,2004,976.0,976,732,2,0,3,1,7,0,2.0,0,40,0,0,0,0,130000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,13615,2006,2006,1802.0,1802,0,2,1,3,1,7,1,3.0,158,105,0,0,0,0,372000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
69,3013,2005,2005,1362.0,1506,0,2,0,2,1,6,1,2.0,142,20,0,0,0,0,213490,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
70,17485,2009,2010,1508.0,1508,0,1,0,1,1,5,2,2.0,0,0,0,0,0,0,308030,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
71,23730,1996,1997,1840.0,2032,0,3,0,3,1,7,0,3.0,0,46,192,0,0,0,300000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
72,8910,1959,1959,655.0,1194,0,1,0,3,1,6,1,2.0,0,0,192,0,0,0,159500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
73,2522,2004,2004,970.0,970,739,2,0,3,1,7,0,2.0,0,40,0,0,0,0,137500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,8688,2005,2005,1616.0,1616,0,2,0,3,1,7,0,3.0,208,59,0,0,0,0,232000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
75,6291,1930,1950,768.0,768,0,1,0,1,1,4,0,2.0,0,0,84,0,0,0,93850,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,17529,1924,1950,872.0,872,0,1,0,2,1,5,1,1.0,0,0,116,0,0,0,105000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,6324,1927,1950,520.0,520,0,1,0,1,1,4,0,1.0,49,0,87,0,0,0,68500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,11600,1960,1960,1105.0,1105,1169,2,0,5,2,12,0,2.0,0,0,0,0,0,0,154300,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
79,7288,1925,2003,936.0,936,665,2,0,3,1,6,0,0.0,0,0,0,176,0,0,129850,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,4571,1910,1950,616.0,616,616,1,0,3,1,6,0,2.0,280,0,143,0,0,0,114000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
82,12665,1915,1950,876.0,876,540,1,1,4,1,7,1,3.0,418,0,194,0,0,0,153900,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
83,9000,1971,2006,864.0,864,0,1,0,3,1,5,0,2.0,200,0,0,0,0,0,130000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
84,4500,1997,1997,1189.0,1189,0,2,0,2,1,4,0,2.0,0,122,0,0,0,0,160500,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
85,6373,2006,2006,1666.0,1666,0,2,0,2,1,6,1,2.0,228,75,0,0,0,0,310090,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
